OrderNumber;Sales Channel;WarehouseCode;ProcuredDate;OrderDate;ShipDate;DeliveryDate;CurrencyCode;SalesTeamID;SalesTeamHead;CustomerID;CosutmerName;StoreID;ProductID;ProductName;Order Quantity;Discount Applied;Unit Price;Unit Cost
SO - 000101;In-Store;WARE-UHY1004;31/12/2017;31/5/2018;14/6/2018;19/6/2018;USD;6;Joshua Bennett;15;Rochester Ltd;259;12;Dining Furniture;5;0,075;1963,1;1001,181
SO - 000102;Online;WARE-NMK1003;31/12/2017;31/5/2018;22/6/2018;2/7/2018;USD;14;Paul Holmes;20;Pacific Ltd;196;27;Wreaths;3;0,075;3939,6;3348,66
SO - 000103;Distributor;WARE-UHY1004;31/12/2017;31/5/2018;21/6/2018;1/7/2018;USD;21;Samuel Fowler;16;3LAB, Ltd;213;16;Stemware;1;0,05;1775,5;781,22
SO - 000104;Wholesale;WARE-NMK1003;31/12/2017;31/5/2018;2/6/2018;7/6/2018;USD;28;Carlos Miller;48;Fenwal, Corp;107;23;Accessories;8;0,075;2324,9;1464,687
SO - 000105;Distributor;WARE-NMK1003;10/4/2018;31/5/2018;16/6/2018;26/6/2018;USD;22;Joe Price;49;Bare ;111;26;Candles;8;0,1;1822,4;1476,144
SO - 000106;Online;WARE-PUJ1005;31/12/2017;31/5/2018;8/6/2018;13/6/2018;USD;12;Carl Nguyen;21;Ohio ;285;1;Cookware;5;0,05;1038,5;446,555
SO - 000107;In-Store;WARE-XYS1001;31/12/2017;31/5/2018;8/6/2018;14/6/2018;USD;10;Jonathan Hawkins;14;Linde ;6;5;Bathroom Furniture;4;0,15;1192,6;536,67
SO - 000108;In-Store;WARE-PUJ1005;10/4/2018;31/5/2018;26/6/2018;1/7/2018;USD;6;Joshua Bennett;9;Ei ;280;46;Sculptures;5;0,05;1815,7;1525,188
SO - 000109;In-Store;WARE-PUJ1005;31/12/2017;1/6/2018;16/6/2018;21/6/2018;USD;4;Chris Armstrong;9;Ei ;299;47;Audio;4;0,3;3879,3;2211,201
SO - 000110;In-Store;WARE-UHY1004;31/12/2017;1/6/2018;29/6/2018;1/7/2018;USD;10;Jonathan Hawkins;33;Trigen ;261;13;Bakeware;8;0,05;1956,4;1212,968
